"Tim Heed",3200,SJS,D,CHI,1.32,1.32,1.32
"Markus Sorensen",0,SJS,LW,CHI,1.36,1.36,1.36
"Carl Grundstrom",2700,LAK,W,VAN,1.28,1.28,1.28
"Matt Roy",3400,LAK,D,VAN,1.14,1.14,1.14
"Alec Martinez",4000,LAK,D,VAN,1.69,1.69,1.69
"Trevor Lewis",2800,LAK,W,VAN,1.76,1.76,1.76
"Adrian Kempe",2500,LAK,C,VAN,1.71,1.71,1.71
"Alex Iafallo",3600,LAK,W,VAN,1.61,1.61,1.61
"Loui Eriksson",3100,VAN,W,LAK,1.62,1.62,1.62
"Tanner Pearson",3500,VAN,W,LAK,1.35,1.35,1.35
"Derrick Pouliot",2500,VAN,D,LAK,1.5,1.5,1.5
"Josh Leivo",3500,VAN,W,LAK,1.49,1.49,1.49
"Dustin Brown",5200,LAK,W,VAN,1.73,1.73,1.73
"Alexander Edler",6100,VAN,D,LAK,1.85,1.85,1.85
"Brock Boeser",6700,VAN,W,LAK,2.77,2.77,2.77
"Drew Doughty",4500,LAK,D,VAN,2.96,2.96,2.96
"Elias Pettersson",6600,VAN,C,LAK,2.91,2.91,2.91
"Bo Horvat",6900,VAN,C,LAK,2.74,2.74,2.74
"Anze Kopitar",5100,LAK,C,VAN,2.71,2.71,2.71
"Tyler Toffoli",3700,LAK,W,VAN,1.89,1.89,1.89
"Ilya Kovalchuk",3700,LAK,W,VAN,1.91,1.91,1.91
"Jeff Carter",3600,LAK,C,VAN,2.25,2.25,2.25
"Nikolay Goldobin",3000,VAN,W,LAK,1.37,1.37,1.37
"Michael Amadio",2500,LAK,C,VAN,1.42,1.42,1.42
"Jonny Brodzinski",2500,LAK,W,VAN,1.11,1.11,1.11
"Troy Stecher",3300,VAN,D,LAK,1.18,1.18,1.18
"Brendan Leipsic",2900,LAK,W,VAN,1.16,1.16,1.16
"Paul LaDue",2500,LAK,D,VAN,0.99,0.99,0.99
"Adam Gaudette",2500,VAN,C,LAK,1.01,1.01,1.01
"Sean Walker",3200,LAK,D,VAN,1.15,1.15,1.15
"Ashton Sautner",2500,VAN,D,LAK,1.23,1.23,1.23
"Alex Biega",4200,VAN,D,LAK,1.04,1.04,1.04
"Luke Schenn",2500,VAN,D,LAK,1.27,1.27,1.27
"Kyle Clifford",2500,LAK,W,VAN,1.24,1.24,1.24
"Jay Beagle",2500,VAN,C,LAK,1.37,1.37,1.37
"Ben Hutton",3600,VAN,D,LAK,1.39,1.39,1.39
"Austin Wagner",2500,LAK,W,VAN,1.42,1.42,1.42
"Dion Phaneuf",2500,LAK,D,VAN,1.31,1.31,1.31
"Derek Forbort",2700,LAK,D,VAN,1.38,1.38,1.38
"Markus Granlund",2800,VAN,W,LAK,1.27,1.27,1.27
"Tim Schaller",2500,VAN,W,LAK,1.32,1.32,1.32
"Kyle Connor",6000,WPG,W,NYI,2.7,2.7,2.7
"Mathew Barzal",5700,NYI,C,WPG,2.97,2.97,2.97
"Nick Foligno",3500,CBJ,W,MON,2.04,2.04,2.04
"Ryan Dzingel",4900,CBJ,W,MON,2.09,2.09,2.09
"Jonathan Drouin",4400,MON,W,CBJ,2.28,2.28,2.28
"Josh Anderson",5000,CBJ,W,MON,2.05,2.05,2.05
"Alexander Wennberg",2700,CBJ,C,MON,1.87,1.87,1.87
"Joel Armia",3600,MON,W,CBJ,1.66,1.66,1.66
"Artturi Lehkonen",3200,MON,W,CBJ,1.81,1.81,1.81
"Boone Jenner",4600,CBJ,W,MON,1.89,1.89,1.89
"Tomas Tatar",5100,MON,W,CBJ,2.49,2.49,2.49
"Jeff Petry",4700,MON,D,CBJ,2.57,2.57,2.57
"Seth Jones",5800,CBJ,D,MON,2.98,2.98,2.98
"Matt Duchene",6100,CBJ,C,MON,3.02,3.02,3.02
"Artemi Panarin",5500,CBJ,W,MON,3.13,3.13,3.13
"Shea Weber",6400,MON,D,CBJ,2.9,2.9,2.9
"Brendan Gallagher",6400,MON,W,CBJ,2.81,2.81,2.81
"Pierre-Luc Dubois",4800,CBJ,C,MON,2.72,2.72,2.72
"Max Domi",6000,MON,C,CBJ,2.74,2.74,2.74
"Zachary Werenski",5200,CBJ,D,MON,2.8,2.8,2.8
"David Savard",3700,CBJ,D,MON,1.65,1.65,1.65
"Nicolas Deslauriers",2500,MON,W,CBJ,1.55,1.55,1.55
"Scott Harrington",2500,CBJ,D,MON,1.23,1.23,1.23
"Victor Mete",2500,MON,D,CBJ,1.19,1.19,1.19
"Charles Hudon",2500,MON,W,CBJ,1.22,1.22,1.22
"Lukas Sedlak",2500,CBJ,C,MON,1.07,1.07,1.07
"Matthew Peca",2500,MON,C,CBJ,1.02,1.02,1.02
"Christian Folin",2600,MON,D,CBJ,1.09,1.09,1.09
"Dean Kukan",2500,CBJ,D,MON,0.93,0.93,0.93
"Markus Nutivaara",2700,CBJ,D,MON,1.03,1.03,1.03
"Adam McQuaid",2800,CBJ,D,MON,1.31,1.31,1.31
"Jordan Weal",2700,MON,W,CBJ,1.23,1.23,1.23
"Brandon Dubinsky",2500,CBJ,W,MON,1.48,1.48,1.48
"Jordie Benn",3300,MON,D,CBJ,1.6,1.6,1.6
"Phillip Danault",3900,MON,C,CBJ,1.58,1.58,1.58
"Oliver Bjorkstrand",3400,CBJ,W,MON,1.44,1.44,1.44
"Andrew Shaw",4800,MON,W,CBJ,1.42,1.42,1.42
"Markus Hannikainen",2500,CBJ,W,MON,1.25,1.25,1.25
"Jesperi Kotkaniemi",3400,MON,C,CBJ,1.3,1.3,1.3
"Riley Nash",2500,CBJ,C,MON,1.46,1.46,1.46
"Cam Atkinson",7200,CBJ,W,MON,3.45,3.45,3.45
"Travis Boyd",2500,WSH,W,CAR,1.26,1.26,1.26
"Justin Williams",5100,CAR,W,WSH,2.41,2.41,2.41
"Jordan Staal",4500,CAR,C,WSH,2.44,2.44,2.44
"Tom Wilson",5300,WSH,W,CAR,2.49,2.49,2.49
"Jaccob Slavin",4100,CAR,D,WSH,2.35,2.35,2.35
"Matt Niskanen",4100,WSH,D,CAR,1.9,1.9,1.9
"Jakub Vrana",4000,WSH,W,CAR,1.69,1.69,1.69
"Jordan Martinook",3400,CAR,W,WSH,1.81,1.81,1.81
"Lars Eller",4400,WSH,C,CAR,1.76,1.76,1.76
"Andrei Svechnikov",4400,CAR,W,WSH,2.5,2.5,2.5
"Justin Faulk",5000,CAR,D,WSH,2.63,2.63,2.63
"John Carlson",6500,WSH,D,CAR,3.08,3.08,3.08
"Evgeny Kuznetsov",6400,WSH,C,CAR,3.09,3.09,3.09
"Sebastian Aho",7100,CAR,C,WSH,3.69,3.69,3.69
"Teuvo Teravainen",5200,CAR,W,WSH,2.97,2.97,2.97
"Nino Niederreiter",5400,CAR,W,WSH,2.9,2.9,2.9
"T.J. Oshie",5400,WSH,W,CAR,2.65,2.65,2.65
"Nicklas Backstrom",6300,WSH,C,CAR,2.68,2.68,2.68
"Dougie Hamilton",5400,CAR,D,WSH,2.94,2.94,2.94
"Michael Ferland",4000,CAR,W,WSH,1.59,1.59,1.59
"Dmitry Orlov",3400,WSH,D,CAR,1.58,1.58,1.58
"Nick Jensen",3000,WSH,D,CAR,1.29,1.29,1.29
"Brett Connolly",4200,WSH,W,CAR,1.25,1.25,1.25
"Dmitrij Jaskin",2500,WSH,W,CAR,1.26,1.26,1.26
"Lucas Wallmark",3000,CAR,C,WSH,1.22,1.22,1.22
"Saku Maenalanen",2500,CAR,W,WSH,1.14,1.14,1.14
"Greg McKegg",2500,CAR,C,WSH,0.98,0.98,0.98
"Chandler Stephenson",2500,WSH,W,CAR,0.99,0.99,0.99
"Nic Dowd",2500,WSH,C,CAR,1.07,1.07,1.07
"Christian Djoos",2500,WSH,D,CAR,1.35,1.35,1.35
"Brock McGinn",2500,CAR,W,WSH,1.34,1.34,1.34
"Warren Foegele",2500,CAR,W,WSH,1.43,1.43,1.43
"Andre Burakovsky",2500,WSH,W,CAR,1.52,1.52,1.52
"Brooks Orpik",2500,WSH,D,CAR,1.68,1.68,1.68
"Trevor Van Riemsdyk",2600,CAR,D,WSH,1.51,1.51,1.51
"Carl Hagelin",3300,WSH,W,CAR,1.41,1.41,1.41
"Brett Pesce",4000,CAR,D,WSH,1.47,1.47,1.47
"Calvin de Haan",2700,CAR,D,WSH,1.48,1.48,1.48
"Nate Thompson",2500,MON,C,CBJ,1.03,1.03,1.03
"Jack Eichel",7600,BUF,C,DET,4.16,4.16,4.16
"Colton Sceviour",3100,FLA,W,OTT,1.67,1.67,1.67
"Anthony Duclair",3600,OTT,W,FLA,1.72,1.72,1.72
"Troy Brouwer",2500,FLA,W,OTT,1.73,1.73,1.73
"Mike Matheson",4100,FLA,D,OTT,1.72,1.72,1.72
"Chris Tierney",4300,OTT,C,FLA,1.62,1.62,1.62
"Mark Pysyk",2500,FLA,D,OTT,1.59,1.59,1.59
"Cody Ceci",4300,OTT,D,FLA,1.69,1.69,1.69
"Jamie McGinn",3000,FLA,W,OTT,1.65,1.65,1.65
"Frank Vatrano",5100,FLA,W,OTT,1.87,1.87,1.87
"Jean-Gabriel Pageau",3800,OTT,C,FLA,2.04,2.04,2.04
"Vincent Trocheck",5200,FLA,C,OTT,3.25,3.25,3.25
"Mike Hoffman",6500,FLA,W,OTT,3.59,3.59,3.59
"Evgenii Dadonov",6200,FLA,W,OTT,3.59,3.59,3.59
"Keith Yandle",5500,FLA,D,OTT,3.23,3.23,3.23
"Thomas Chabot",6000,OTT,D,FLA,2.68,2.68,2.68
"Bobby Ryan",4100,OTT,W,FLA,2.06,2.06,2.06
"Brady Tkachuk",5600,OTT,W,FLA,2.24,2.24,2.24
"Aaron Ekblad",5100,FLA,D,OTT,2.43,2.43,2.43
"Colin White",3800,OTT,C,FLA,1.49,1.49,1.49
"Mikkel Boedker",2900,OTT,W,FLA,1.46,1.46,1.46
"Jayce Hawryluk",2600,FLA,W,OTT,1.52,1.52,1.52
"Max Véronneau",3400,OTT,W,FLA,1.21,1.21,1.21
"Ben Harpur",2500,OTT,D,FLA,0.97,0.97,0.97
"Henrik Borgstrom",2700,FLA,C,OTT,1.32,1.32,1.32
"Erik Brannstrom",2500,OTT,D,FLA,1.33,1.33,1.33
"Mark Scheifele",5800,WPG,C,NYI,3.79,3.79,3.79
"Blake Wheeler",6200,WPG,W,NYI,3.96,3.96,3.96
"Christian Wolanin",3800,OTT,D,FLA,1.1,1.1,1.1
"Brian Gibbons",2600,OTT,W,FLA,1.04,1.04,1.04
"Christian Jaros",2700,OTT,D,FLA,1.1,1.1,1.1
"Riley Sheahan",2500,FLA,C,OTT,1.3,1.3,1.3
"Dylan Demelo",3800,OTT,D,FLA,1.32,1.32,1.32
"Oscar Lindberg",3600,OTT,C,FLA,1.37,1.37,1.37
"Magnus Paajarvi",3100,OTT,W,FLA,1.21,1.21,1.21
"Mark Borowiecki",2800,OTT,D,FLA,1.34,1.34,1.34
"Ian McCoshen",2500,FLA,D,OTT,1.11,1.11,1.11
"Mackenzie Weegar",3500,FLA,D,OTT,1.12,1.12,1.12
"Jonathan Huberdeau",7000,FLA,W,OTT,4.04,4.04,4.04
"Aleksander Barkov",7700,FLA,C,OTT,4.27,4.27,4.27
"Tage Thompson",2500,BUF,W,DET,1.51,1.51,1.51
"Brandon Montour",4500,BUF,D,DET,1.67,1.67,1.67
"Filip Hronek",3000,DET,D,BUF,1.59,1.59,1.59
"Kyle Okposo",3100,BUF,W,DET,1.47,1.47,1.47
"Frans Nielsen",3800,DET,C,BUF,1.48,1.48,1.48
"Johan Larsson",2500,BUF,C,DET,1.43,1.43,1.43
"Michael Rasmussen",2900,DET,C,BUF,1.43,1.43,1.43
"Scott Wilson",2800,BUF,W,DET,1.51,1.51,1.51
"Conor Sheary",3500,BUF,W,DET,1.64,1.64,1.64
"Jason Pominville",3000,BUF,W,DET,1.8,1.8,1.8
"Rasmus Ristolainen",5000,BUF,D,DET,3.08,3.08,3.08
"Dylan Larkin",5900,DET,C,BUF,3.33,3.33,3.33
"Jeff Skinner",5900,BUF,W,DET,3.83,3.83,3.83
"Rasmus Dahlin",4600,BUF,D,DET,2.95,2.95,2.95
"Anthony Mantha",5000,DET,W,BUF,2.64,2.64,2.64
"Tyler Bertuzzi",3500,DET,W,BUF,1.8,1.8,1.8
"Andreas Athanasiou",5500,DET,C,BUF,2.38,2.38,2.38
"Sam Reinhart",5300,BUF,W,DET,2.52,2.52,2.52
"Darren Helm",2900,DET,W,BUF,1.44,1.44,1.44
"Danny DeKeyser",3900,DET,D,BUF,1.51,1.51,1.51
"Casey Nelson",2500,BUF,D,DET,0.99,0.99,0.99
"Luke Glendening",3500,DET,W,BUF,1.15,1.15,1.15
"Luke Witkowski",2500,DET,W,BUF,1.14,1.14,1.14
"Christoffer Ehn",2500,DET,C,BUF,0.85,0.85,0.85
"Taro Hirose",2600,DET,W,BUF,1.52,1.52,1.52
"Victor Olofsson",0,BUF,RW,DET,1.28,1.28,1.28
"Matt Hunwick",2500,BUF,D,DET,1.22,1.22,1.22
"Ryan Kuffner",2500,DET,W,BUF,1.09,1.09,1.09
"Madison Bowey",2700,DET,D,BUF,1.23,1.23,1.23
"Alexander Nylander",4200,BUF,W,DET,1.23,1.23,1.23
"Zemgus Girgensons",2500,BUF,W,DET,1.37,1.37,1.37
"Evan Rodrigues",4200,BUF,C,DET,1.37,1.37,1.37
"Zach Bogosian",4200,BUF,D,DET,1.44,1.44,1.44
"Casey Mittelstadt",2900,BUF,C,DET,1.29,1.29,1.29
"Vladimir Sobotka",2500,BUF,C,DET,1.29,1.29,1.29
"Niklas Kronwall",2900,DET,D,BUF,1.3,1.3,1.3
"Marco Scandella",2900,BUF,D,DET,1.36,1.36,1.36
"Alex Ovechkin",8000,WSH,W,CAR,4.27,4.27,4.27
