C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Craig Anderson (12322589),Craig Anderson,12322589,G,7200,FLA@OTT 03/28/2019 07:30PM ET,OTT,4.09
,,,,,,,,,,G,Thomas Greiss (12322590),Thomas Greiss,12322590,G,7200,NYI@WPG 03/28/2019 08:00PM ET,NYI,4.9
,,,,,,,,,,C,Sebastian Aho (12321534),Sebastian Aho,12321534,C/UTIL,7100,WAS@CAR 03/28/2019 07:00PM ET,CAR,4.31
,,,,,,,,,,G,Anton Khudobin (12322592),Anton Khudobin,12322592,G,7100,DAL@EDM 03/28/2019 09:00PM ET,DAL,4.46
,,,,,,,,,,G,Jonathan Quick (12322591),Jonathan Quick,12322591,G,7100,LA@VAN 03/28/2019 10:00PM ET,LA,3.13
,,,,,,,,,,LW,Jonathan Huberdeau (12321768),Jonathan Huberdeau,12321768,W/UTIL,7000,FLA@OTT 03/28/2019 07:30PM ET,FLA,4.15
,,,,,,,,,,C,Jonathan Toews (12321536),Jonathan Toews,12321536,C/UTIL,7000,CHI@SJ 03/28/2019 10:30PM ET,CHI,4.12
,,,,,,,,,,G,Corey Crawford (12322593),Corey Crawford,12322593,G,7000,CHI@SJ 03/28/2019 10:30PM ET,CHI,4.27
,,,,,,,,,,G,Petr Mrazek (12322594),Petr Mrazek,12322594,G,6900,WAS@CAR 03/28/2019 07:00PM ET,CAR,4.36
,,,,,,,,,,C,Bo Horvat (12321538),Bo Horvat,12321538,C/UTIL,6900,LA@VAN 03/28/2019 10:00PM ET,VAN,3.71
,,,,,,,,,,G,Jack Campbell (12322595),Jack Campbell,12322595,G,6900,LA@VAN 03/28/2019 10:00PM ET,LA,4.07
