Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Brett Connolly,,,RW,4200,WAS,@CAR,1,L3,,2.82,13.3,12.7,13.3,2.2,1.6,1.7,3.2,2.4,2.4,0.2,4.7,1.6,0.4,0.0,0.0
Evan Rodrigues,,,C,4200,BUF,DET,1,,,3.27,16.8,16.6,15.9,2.2,2.5,2.3,2.0,2.6,2.3,0.5,4.1,0.0,0.0,0.0,0.0
Zach Bogosian,,,D,4200,BUF,DET,1,,,3.27,19.7,21.8,21.6,1.0,1.4,1.4,2.1,2.2,2.3,0.6,3.9,0.0,0.0,0.0,0.0
Alexander Nylander,,,RW,4200,BUF,DET,1,,,3.27,13.0,12.7,12.7,2.0,1.5,1.5,3.0,2.1,2.1,0.3,3.8,0.0,0.0,0.0,0.0
Bobby Ryan,,,RW,4100,OTT,FLA,1,L3,P1,3.04,16.3,16.0,15.8,2.2,2.2,2.1,2.6,2.8,2.7,0.8,4.6,2.3,0.6,0.0,0.0
Jaccob Slavin,,,D,4100,CAR,WAS,1,D1,P2,3.18,22.7,22.5,22.9,2.0,1.5,1.8,1.9,2.5,2.5,0.8,4.2,2.7,0.7,0.0,0.0
Matt Niskanen,,,D,4100,WAS,@CAR,1,D2,P2,2.82,21.3,21.5,22.0,2.0,1.7,1.8,2.5,2.2,2.5,0.6,4.3,2.4,0.6,0.0,0.0
Mike Matheson,,,D,4100,FLA,@OTT,1,,,3.46,21.3,22.7,22.2,1.2,1.6,1.7,2.3,2.4,2.5,0.8,4.2,0.0,0.0,0.0,0.0
Johnny Boychuk,,,D,4100,NYI,@WPG,1,D1,,2.48,17.2,19.5,18.9,2.0,2.1,2.2,2.8,2.7,2.5,1.1,4.0,2.6,0.6,0.0,0.0
Alex Chiasson,,,RW,4100,EDM,DAL,1,L2,P1,2.73,15.5,17.8,17.0,2.4,1.7,1.7,2.9,2.1,2.5,0.5,4.4,2.5,0.6,0.0,0.0
Joe Thornton,,,C,4100,SJ,CHI,2,L3,P2,3.74,16.1,15.6,15.5,1.6,1.2,1.3,2.9,2.6,2.4,0.3,4.4,2.1,0.5,0.0,0.0
Kevin Labanc,,,RW,4100,SJ,CHI,2,L3,P1,3.74,16.3,13.4,13.9,2.4,1.3,1.6,2.7,2.5,2.4,0.1,4.8,2.4,0.6,0.0,0.0
Micheal Ferland,,,LW,4000,CAR,WAS,1,L3,P2,3.18,13.9,13.6,14.2,2.4,1.9,2.3,2.1,2.4,2.7,0.6,4.8,2.1,0.5,0.0,0.0
Jakub Vrana,,,LW,4000,WAS,@CAR,1,L3,P2,2.82,13.2,13.7,14.0,2.0,1.9,1.9,2.0,2.6,2.6,0.4,4.8,2.1,0.5,0.0,0.0
Paul Byron,,,LW,4000,MON,@CLS,1,,,2.55,12.2,14.8,14.7,1.6,1.6,1.7,2.1,2.4,2.6,0.4,4.9,0.0,0.0,0.0,0.0
Brett Pesce,,,D,4000,CAR,WAS,1,D2,,3.18,23.1,21.0,20.3,1.2,1.3,1.3,2.6,2.5,2.5,0.8,4.1,2.1,0.5,0.0,0.0
Michal Kempny,,,D,4000,WAS,@CAR,1,D1,,2.82,16.6,19.2,19.2,1.8,1.6,1.6,1.8,2.4,2.5,1.0,4.1,1.9,0.5,0.0,0.0
Miro Heiskanen,,,D,4000,DAL,@EDM,0,D2,P2,2.77,23.2,23.0,23.1,2.0,2.3,2.2,2.9,2.4,2.5,0.5,4.6,2.4,0.6,0.0,0.0
Alec Martinez,,,D,4000,LA,@VAN,1,D2,P2,2.58,21.4,20.9,21.2,0.6,1.2,1.2,2.1,2.5,2.5,0.8,4.2,2.7,0.7,0.0,0.0
Artem Anisimov,,,C,4000,CHI,@SJ,1,L3,P2,2.76,17.7,16.1,16.2,2.0,1.7,1.8,2.0,2.3,2.3,0.3,4.2,2.3,0.6,0.0,0.0
Phillip Danault,,,C,3900,MON,@CLS,1,L1,,2.55,17.3,17.9,17.7,1.8,1.6,1.6,2.7,3.0,2.6,0.2,5.0,2.4,0.6,0.0,0.0
Thomas Vanek,,,RW,3900,DET,@BUF,2,,,2.73,14.0,14.5,14.1,2.8,2.0,1.7,3.1,2.7,2.3,0.1,4.5,0.0,0.0,0.0,0.0
Danny DeKeyser,,,D,3900,DET,@BUF,2,D1,,2.73,25.9,22.5,22.1,1.0,1.1,1.1,2.7,2.4,2.3,0.7,3.9,1.8,0.5,0.0,0.0
Kris Russell,,,D,3900,EDM,DAL,1,D2,,2.73,20.4,20.8,20.5,0.2,0.9,0.9,1.6,2.3,2.3,0.8,3.8,2.6,0.7,0.0,0.0
Josh Bailey,,,LW,3800,NYI,@WPG,1,L2,P2,2.48,16.8,16.2,16.8,0.8,1.3,1.5,2.4,2.2,2.6,0.8,4.4,2.9,0.8,0.0,0.0
Colin White,,,C,3800,OTT,FLA,1,L3,P1,3.04,17.5,16.8,16.0,1.4,1.8,1.8,1.9,2.2,2.4,0.2,4.6,1.7,0.4,0.0,0.0
Jordan Eberle,,,RW,3800,NYI,@WPG,1,L1,P1,2.48,16.8,16.4,16.5,2.6,2.1,2.1,2.0,2.4,2.4,0.5,4.2,3.0,0.8,0.0,0.0
Frans Nielsen,,,C,3800,DET,@BUF,2,L3,P1,2.73,14.5,16.2,16.7,1.4,1.9,1.7,1.8,2.1,2.3,0.2,4.4,2.1,0.6,0.0,0.0
Jean-Gabriel Pageau,,,C,3800,OTT,FLA,1,L1,,3.04,20.1,17.7,17.7,1.2,2.2,2.2,2.1,2.3,2.3,0.7,3.8,2.5,0.7,0.0,0.0
Christian Wolanin,,,D,3800,OTT,FLA,1,D2,P2,3.04,20.7,17.1,17.1,2.2,1.4,1.4,2.7,2.3,2.3,0.8,3.8,1.8,0.5,0.0,0.0
Connor Murphy,,,D,3800,CHI,@SJ,1,D3,,2.76,17.8,19.5,19.5,1.4,1.6,1.6,1.6,2.4,2.3,0.8,3.7,2.0,0.5,0.0,0.0
Dylan DeMelo,,,D,3800,OTT,FLA,1,D1,,3.04,24.2,19.6,19.2,2.0,1.5,1.5,4.9,2.3,2.2,0.6,3.9,1.3,0.3,0.0,0.0
Tyler Toffoli,,,RW,3700,LA,@VAN,1,L2,P1,2.58,16.5,17.0,17.3,2.8,2.9,2.8,2.9,2.7,2.6,0.8,4.4,3.1,0.8,0.0,0.0
Ryan Murray,,,D,3700,CLS,MON,36,,,2.95,19.1,21.3,21.4,1.2,1.3,1.3,3.1,2.6,2.5,0.6,4.4,0.0,0.0,0.0,0.0
Ilya Kovalchuk,,,RW,3700,LA,@VAN,1,,,2.58,13.7,15.5,16.4,2.2,2.2,2.3,1.5,2.3,2.5,0.2,4.9,0.0,0.0,0.0,0.0
David Savard,,,D,3700,CLS,MON,1,D2,,2.95,22.5,19.6,19.6,2.2,1.8,1.5,3.3,2.1,2.1,0.8,3.4,2.3,0.6,0.0,0.0
Tyler Myers,,,D,3600,WPG,NYI,2,D2,P2,3.02,21.4,21.3,20.3,1.8,2.0,1.9,3.1,2.8,2.5,0.7,4.3,2.6,0.7,0.0,0.0
Jeff Carter,,,C,3600,LA,@VAN,1,L3,P1,2.58,18.9,17.7,18.2,1.8,1.8,2.2,3.0,2.0,2.3,0.2,4.4,3.3,0.9,0.0,0.0
Jake Virtanen,,,RW,3600,VAN,LA,1,L3,P2,2.92,15.3,15.0,14.8,1.6,2.2,2.2,2.4,2.2,2.4,0.2,4.5,1.7,0.5,0.0,0.0
Joel Armia,,,RW,3600,MON,@CLS,1,L3,P1,2.55,14.5,15.4,15.9,0.6,2.2,2.3,1.4,2.2,2.3,0.0,4.7,2.1,0.6,0.0,0.0
Alex Iafallo,,,LW,3600,LA,@VAN,1,L1,P2,2.58,17.2,16.6,16.9,1.2,1.8,1.8,2.7,2.0,2.3,0.4,4.2,2.0,0.6,0.0,0.0
Ben Hutton,,,D,3600,VAN,LA,1,,,2.92,26.5,23.2,22.6,1.2,1.7,1.6,1.9,2.2,2.3,0.9,3.7,0.0,0.0,0.0,0.0
Sam Gagner,,,RW,3600,EDM,DAL,1,L4,P2,2.73,11.2,14.9,14.9,1.2,2.0,2.0,1.5,2.2,2.2,0.8,3.6,2.4,0.7,0.0,0.0
Brett Kulak,,,D,3600,MON,@CLS,1,D2,,2.55,19.3,17.0,17.5,2.2,1.7,1.8,3.0,2.3,2.1,0.4,3.8,1.1,0.3,0.0,0.0
Oscar Lindberg,,,C,3600,OTT,FLA,1,L4,,3.04,15.3,12.4,12.3,2.0,1.8,1.7,3.3,2.2,2.1,0.2,4.0,1.5,0.4,0.0,0.0
Anthony Duclair,,,LW,3600,OTT,FLA,1,L2,P2,3.04,12.0,12.3,12.6,1.8,1.6,1.7,3.3,2.0,2.1,0.2,4.0,2.2,0.6,0.0,0.0
Nick Foligno,,,RW,3500,CLS,MON,1,L3,P1,2.95,17.1,17.8,17.9,1.4,2.0,1.9,1.8,2.3,2.5,0.4,4.5,2.6,0.7,0.0,0.0
Tyler Bertuzzi,,,LW,3500,DET,@BUF,2,L1,P2,2.73,18.6,17.2,16.3,1.6,1.9,1.7,1.6,2.4,2.4,0.2,4.7,2.5,0.7,0.0,0.0
Conor Sheary,,,LW,3500,BUF,DET,1,L3,P2,3.27,15.2,14.8,14.7,1.8,1.9,1.9,1.8,2.2,2.2,0.2,4.2,2.6,0.7,0.0,0.0
Scott Mayfield,,,D,3500,NYI,@WPG,1,D3,,2.48,19.6,18.8,18.9,2.0,1.2,1.3,2.1,2.0,2.3,0.7,3.8,2.1,0.6,0.0,0.0
Luke Glendening,,,RW,3500,DET,@BUF,2,L2,,2.73,16.9,15.6,15.8,1.6,1.6,1.3,3.1,2.1,2.1,0.1,4.0,1.7,0.5,0.0,0.0
Radek Faksa,,,C,3500,DAL,@EDM,0,L3,P2,2.77,16.0,16.7,16.4,2.4,1.7,1.5,3.1,2.4,2.1,0.2,4.0,2.2,0.6,0.0,0.0
Josh Leivo,,,LW,3500,VAN,LA,1,L2,P1,2.92,17.1,15.8,13.7,2.0,2.2,1.9,2.2,2.2,2.0,0.1,3.8,1.9,0.5,0.0,0.0
MacKenzie Weegar,,,D,3500,FLA,@OTT,1,D3,,3.46,16.4,17.3,16.8,1.2,0.9,1.2,2.2,2.0,1.9,0.3,3.6,1.4,0.4,0.0,0.0
Tanner Pearson,,,LW,3500,VAN,LA,1,L1,P2,2.92,16.6,13.6,13.8,2.4,1.7,1.7,3.5,2.1,1.9,-0.1,3.8,2.7,0.8,0.0,0.0
Evgeny Svechnikov,,,LW,3500,DET,@BUF,n/a,,,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Johns,,,D,3500,DAL,@EDM,n/a,,,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casey Cizikas,,,C,3400,NYI,@WPG,1,L4,,2.48,16.0,14.6,13.9,1.0,1.6,1.5,1.0,2.4,2.4,0.3,4.5,1.8,0.5,0.0,0.0
Jesperi Kotkaniemi,,,C,3400,MON,@CLS,1,L3,P1,2.55,12.6,13.8,13.9,2.0,1.6,1.7,2.1,2.1,2.2,0.3,4.0,1.5,0.4,0.0,0.0
Oliver Bjorkstrand,,,RW,3400,CLS,MON,1,L2,P2,2.95,12.6,12.6,12.3,2.6,2.1,2.0,3.7,2.6,2.2,0.4,4.1,2.5,0.7,0.0,0.0
Max Veronneau,,,RW,3400,OTT,FLA,1,L1,,3.04,15.7,15.5,15.5,1.4,2.0,2.0,2.0,2.2,2.2,0.6,3.7,1.7,0.5,0.0,0.0
Jordan Martinook,,,RW,3400,CAR,WAS,1,L3,,3.18,13.5,14.6,14.6,1.2,1.4,1.8,1.6,1.9,2.1,-0.1,4.2,1.6,0.5,0.0,0.0
Dmitry Orlov,,,D,3400,WAS,@CAR,1,D2,P2,2.82,21.1,20.9,21.7,1.0,1.3,1.2,1.5,2.0,2.0,0.2,3.8,2.4,0.7,0.0,0.0
Devon Toews,,,D,3400,NYI,@WPG,1,D3,P1,2.48,18.8,17.9,17.9,2.8,1.6,1.7,2.3,2.1,2.0,0.3,3.8,1.7,0.5,0.0,0.0
Matt Roy,,,D,3400,LA,@VAN,1,D2,P2,2.58,17.2,16.8,16.8,1.0,1.3,1.3,1.7,2.0,2.0,0.3,3.7,2.0,0.6,0.0,0.0
Christopher Tanev,,,D,3400,VAN,LA,1,,,2.92,15.9,19.5,20.2,0.6,0.9,0.9,1.8,2.0,2.0,0.7,3.3,0.0,0.0,0.0,0.0
Nick Leddy,,,D,3400,NYI,@WPG,1,D1,P2,2.48,19.0,21.2,21.6,2.0,1.5,1.4,2.8,2.3,2.0,0.4,3.5,2.7,0.8,0.0,0.0
Justin Braun,,,D,3400,SJ,CHI,2,D2,,3.74,18.8,20.5,20.3,1.4,1.5,1.4,1.6,1.9,1.9,0.5,3.4,2.3,0.7,0.0,0.0
Antoine Roussel,,,LW,3300,VAN,LA,1,,,2.92,12.6,14.1,13.8,1.2,1.5,1.3,1.8,2.3,2.1,0.4,3.8,0.0,0.0,0.0,0.0
Joonas Donskoi,,,LW,3300,SJ,CHI,2,L4,,3.74,11.7,12.6,13.5,0.8,1.6,1.5,1.0,2.3,2.1,0.0,4.1,2.2,0.7,0.0,0.0
Jake McCabe,,,D,3300,BUF,DET,1,,,3.27,18.3,18.8,18.8,0.8,1.1,1.1,1.3,1.9,2.0,0.2,3.8,0.0,0.0,0.0,0.0
Jordie Benn,,,D,3300,MON,@CLS,1,D3,,2.55,19.5,18.5,18.3,1.4,1.4,1.2,1.9,2.3,2.0,0.7,3.3,2.1,0.6,0.0,0.0
Roope Hintz,,,C,3300,DAL,@EDM,0,L2,P1,2.77,16.4,14.5,13.8,1.4,1.7,1.6,2.2,2.1,2.0,0.2,3.8,1.9,0.6,0.0,0.0
Troy Stecher,,,D,3300,VAN,LA,1,D1,,2.92,22.2,22.0,19.8,1.6,1.6,1.4,2.6,2.1,1.9,0.5,3.2,1.7,0.5,0.0,0.0
Carl Hagelin,,,LW,3300,WAS,@CAR,1,L2,,2.82,14.9,14.3,14.6,1.4,1.6,1.7,2.6,1.8,1.7,0.4,3.1,2.1,0.6,0.0,0.0
Ben Chiarot,,,D,3200,WPG,NYI,2,D3,,3.02,18.4,18.9,18.4,0.8,1.4,1.3,1.7,2.5,2.2,0.5,3.8,1.7,0.5,0.0,0.0
Artturi Lehkonen,,,LW,3200,MON,@CLS,1,L2,,2.55,17.3,15.5,15.5,1.4,1.9,2.1,2.1,1.7,2.2,0.6,3.7,2.6,0.8,0.0,0.0
Adam Larsson,,,D,3200,EDM,DAL,1,D1,P2,2.73,20.1,21.3,21.8,1.0,1.4,1.4,2.6,1.9,2.1,0.5,3.6,2.3,0.7,0.0,0.0
Sean Walker,,,D,3200,LA,@VAN,1,D3,,2.58,16.8,15.4,15.4,1.8,1.4,1.4,2.8,1.8,1.8,0.4,3.3,1.8,0.6,0.0,0.0
Tim Heed,,,D,3200,SJ,CHI,2,D3,P2,3.74,16.2,14.4,14.4,1.4,1.2,1.2,1.4,1.8,1.8,0.4,3.3,2.4,0.8,0.0,0.0
Zack Kassian,,,RW,3200,EDM,DAL,1,L1,,2.73,18.9,15.9,14.4,1.8,1.7,1.4,3.4,2.4,1.7,-0.2,3.7,1.4,0.4,0.0,0.0
Kyle Okposo,,,RW,3100,BUF,DET,1,L4,P2,3.27,13.0,13.3,13.8,2.0,1.7,1.9,1.3,1.7,2.0,0.4,3.5,2.6,0.8,0.0,0.0
Rudolfs Balcers,,,LW,3100,OTT,FLA,1,L3,P2,3.04,15.3,12.4,12.4,1.6,1.4,1.4,2.9,2.0,2.0,0.5,3.5,2.2,0.7,0.0,0.0
Colton Sceviour,,,RW,3100,FLA,@OTT,1,,,3.46,11.1,12.0,12.2,1.2,1.9,2.0,1.1,2.0,2.0,0.3,3.7,0.0,0.0,0.0,0.0
Adam Pelech,,,D,3100,NYI,@WPG,1,D2,,2.48,20.6,19.5,18.5,1.2,1.4,1.3,1.9,2.1,2.0,0.4,3.6,2.1,0.7,0.0,0.0
Zack Smith,,,LW,3100,OTT,FLA,1,,,3.04,16.8,16.6,16.4,1.6,1.6,1.5,2.4,1.8,1.9,0.2,3.7,0.0,0.0,0.0,0.0
Magnus Paajarvi,,,RW,3100,OTT,FLA,1,L4,,3.04,12.9,13.5,13.4,2.0,1.7,1.5,3.8,2.0,1.8,-0.1,3.6,1.7,0.5,0.0,0.0
Valtteri Filppula,,,C,3100,NYI,@WPG,1,,,2.48,13.6,13.9,14.3,1.4,1.2,1.1,1.3,1.7,1.8,-0.4,4.0,0.0,0.0,0.0,0.0
Roman Polak,,,D,3100,DAL,@EDM,0,D2,,2.77,18.7,19.8,19.2,1.4,0.9,1.0,1.1,1.8,1.8,0.6,3.0,1.4,0.5,0.0,0.0
Loui Eriksson,,,RW,3100,VAN,LA,1,L1,P2,2.92,14.4,14.1,14.1,1.8,1.3,1.3,2.9,1.5,1.7,-0.4,3.7,2.2,0.7,0.0,0.0
Tyler Motte,,,RW,3100,VAN,LA,1,L4,,2.92,11.1,12.4,12.8,1.4,1.7,1.5,1.3,1.5,1.7,0.0,3.4,1.3,0.4,0.0,0.0
Dylan Sikura,,,RW,3100,CHI,@SJ,1,L1,,2.76,14.3,11.1,11.1,1.6,1.6,1.6,1.2,1.5,1.5,0.3,2.8,2.5,0.8,0.0,0.0
Jason Pominville,,,RW,3000,BUF,DET,1,L2,,3.27,12.3,11.6,12.5,1.2,1.5,1.8,0.8,1.5,2.1,-0.3,4.4,2.1,0.7,0.0,0.0
Dominik Kahun,,,RW,3000,CHI,@SJ,1,L3,P2,2.76,11.6,14.5,14.3,1.4,1.7,1.7,0.8,2.3,2.1,0.1,4.0,1.7,0.6,0.0,0.0
Drake Caggiula,,,LW,3000,CHI,@SJ,1,,,2.76,11.9,14.4,14.2,1.8,1.7,1.8,1.6,1.9,2.1,-0.2,4.4,0.0,0.0,0.0,0.0
Filip Hronek,,,D,3000,DET,@BUF,2,D1,P2,2.73,22.6,20.0,20.0,1.4,1.6,1.6,1.1,2.0,2.0,0.4,3.6,1.5,0.5,0.0,0.0
Martin Hanzal,,,C,3000,DAL,@EDM,90,,,2.77,12.8,12.9,12.9,1.8,2.0,2.0,1.5,2.0,2.0,0.1,3.9,0.0,0.0,0.0,0.0
Nikolay Goldobin,,,LW,3000,VAN,LA,1,L3,P1,2.92,14.7,14.8,15.0,1.4,1.5,1.7,1.0,1.8,2.0,0.3,3.7,1.9,0.6,0.0,0.0
Lucas Wallmark,,,C,3000,CAR,WAS,1,L3,,3.18,13.4,14.7,14.9,1.2,1.2,1.7,1.5,1.8,1.9,0.0,3.9,1.7,0.6,0.0,0.0
Nick Jensen,,,D,3000,WAS,@CAR,1,D3,,2.82,17.4,20.0,20.0,1.2,1.3,1.2,2.5,1.7,1.8,0.2,3.4,1.7,0.6,0.0,0.0
Jason Spezza,,,C,3000,DAL,@EDM,0,L4,,2.77,8.8,12.7,13.3,1.6,1.6,1.5,0.8,1.5,1.8,0.2,3.5,2.0,0.7,0.0,0.0
Ben Lovejoy,,,D,3000,DAL,@EDM,0,D3,,2.77,15.1,17.3,17.1,1.4,1.3,1.3,1.5,1.9,1.8,0.5,3.0,1.6,0.5,0.0,0.0
Slater Koekkoek,,,D,3000,CHI,@SJ,1,D2,,2.76,17.1,15.8,15.8,0.6,1.3,1.3,1.9,1.8,1.8,0.4,3.1,1.2,0.4,0.0,0.0
Denis Malgin,,,C,3000,FLA,@OTT,1,L3,,3.46,12.7,12.7,12.9,0.8,1.4,1.3,1.3,1.7,1.7,0.3,3.1,2.1,0.7,0.0,0.0
Jamie McGinn,,,LW,3000,FLA,@OTT,1,,,3.46,9.8,10.7,10.7,1.0,1.2,1.2,0.6,1.7,1.7,-0.1,3.4,0.0,0.0,0.0,0.0
William Borgen,,,D,3000,BUF,DET,1,,,3.27,14.9,14.9,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Little,,,LW,2900,WPG,NYI,2,L3,P2,3.02,14.6,15.3,15.8,1.2,1.6,1.6,1.0,2.3,2.3,0.2,4.3,2.4,0.8,0.0,0.0
Darren Helm,,,RW,2900,DET,@BUF,2,L3,,2.73,15.9,14.2,14.5,1.2,1.8,1.7,1.4,1.9,1.9,0.3,3.4,2.0,0.7,0.0,0.0
Mikkel Boedker,,,RW,2900,OTT,FLA,1,L2,P1,3.04,11.7,13.4,14.2,0.8,1.0,1.2,1.1,1.5,1.8,0.0,3.6,2.1,0.7,0.0,0.0
Niklas Kronwall,,,D,2900,DET,@BUF,2,D2,P1,2.73,19.6,21.1,20.0,0.0,0.9,1.0,1.6,1.7,1.7,0.4,3.1,1.6,0.6,0.0,0.0
Marco Scandella,,,D,2900,BUF,DET,1,D3,,3.27,18.0,17.1,17.7,0.8,1.3,1.3,1.6,1.8,1.8,0.3,3.2,2.0,0.7,0.0,0.0
Mike Reilly,,,D,2900,MON,@CLS,1,,,2.55,18.5,17.7,18.7,2.2,1.9,1.8,2.0,1.8,1.8,0.5,3.2,0.0,0.0,0.0,0.0
Taylor Fedun,,,D,2900,DAL,@EDM,0,,,2.77,12.2,13.7,13.8,1.2,1.5,1.5,1.4,1.8,1.8,0.1,3.5,0.0,0.0,0.0,0.0
Brendan Leipsic,,,LW,2900,LA,@VAN,1,,,2.58,12.7,14.1,13.8,1.2,1.1,1.5,1.9,1.7,1.8,0.2,3.4,0.0,0.0,0.0,0.0
Casey Mittelstadt,,,C,2900,BUF,DET,1,L2,P2,3.27,12.6,13.4,13.5,2.0,1.7,1.5,2.1,1.9,1.7,0.1,3.3,2.9,1.0,0.0,0.0
Matt Benning,,,D,2900,EDM,DAL,1,D3,,2.73,17.1,15.2,14.7,1.0,1.3,1.3,1.0,1.6,1.6,0.1,3.2,2.0,0.7,0.0,0.0
Michael Rasmussen,,,C,2900,DET,@BUF,2,,,2.73,10.0,11.6,12.1,1.4,1.1,1.2,2.5,1.5,1.5,-0.3,3.3,0.0,0.0,0.0,0.0
Marian Gaborik,,,LW,2900,OTT,FLA,n/a,,,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Beauvillier,,,LW,2800,NYI,@WPG,1,L3,P2,2.48,13.2,14.7,14.8,0.6,2.0,1.9,0.4,1.8,2.0,-0.2,4.3,2.5,0.9,0.0,0.0
Jason Dickinson,,,RW,2800,DAL,@EDM,0,L1,,2.77,14.7,13.9,13.3,2.4,1.5,1.4,1.7,1.6,1.8,0.1,3.4,1.5,0.5,0.0,0.0
Trevor Lewis,,,RW,2800,LA,@VAN,1,L3,,2.58,14.9,13.8,13.8,1.6,1.9,1.9,1.5,1.8,1.8,0.5,3.0,1.8,0.6,0.0,0.0
Marcus Sorensen,,,LW,2800,SJ,CHI,2,L3,P2,3.74,14.4,12.9,12.8,1.2,1.1,1.2,1.2,1.8,1.8,-0.2,3.8,1.3,0.5,0.0,0.0
Tom Kuhnhackl,,,C,2800,NYI,@WPG,1,L3,,2.48,12.7,13.0,13.0,0.8,0.8,0.8,2.1,1.7,1.7,0.0,3.5,1.2,0.4,0.0,0.0
Brandon Sutter,,,C,2800,VAN,LA,44,,,2.92,16.8,17.5,17.5,2.0,1.7,1.7,1.9,1.7,1.7,0.2,3.3,0.0,0.0,0.0,0.0
Markus Granlund,,,RW,2800,VAN,LA,1,L3,,2.92,15.1,13.8,15.1,2.0,1.6,1.6,1.7,1.5,1.7,-0.1,3.5,1.9,0.7,0.0,0.0
Mark Borowiecki,,,D,2800,OTT,FLA,1,D3,,3.04,17.3,15.5,15.5,1.0,1.1,1.1,2.5,1.6,1.6,0.5,2.8,1.6,0.6,0.0,0.0
Adam McQuaid,,,D,2800,CLS,MON,1,D3,,2.95,11.7,16.0,16.0,0.8,0.6,0.6,1.3,1.5,1.5,0.1,3.0,1.2,0.4,0.0,0.0
Scott Wilson,,,LW,2800,BUF,DET,1,,,3.27,12.1,11.3,11.3,1.4,1.6,1.6,1.6,1.3,1.3,0.1,2.5,0.0,0.0,0.0,0.0
Brandon Tanev,,,RW,2700,WPG,NYI,2,L3,,3.02,13.8,14.4,14.3,0.4,1.6,1.6,0.5,2.1,2.2,0.4,3.9,1.6,0.6,0.0,0.0
Carl Grundstrom,,,LW,2700,LA,@VAN,1,L2,P2,2.58,15.0,14.7,14.7,2.2,1.4,1.4,2.3,2.2,2.2,0.2,4.1,1.8,0.7,0.0,0.0
Calvin de Haan,,,D,2700,CAR,WAS,1,D3,,3.18,17.3,18.3,18.7,1.0,1.4,1.4,1.2,1.8,1.8,0.6,3.1,2.4,0.9,0.0,0.0
Mathieu Perreault,,,LW,2700,WPG,NYI,2,L4,P2,3.02,10.8,12.3,12.3,1.0,0.9,1.2,1.3,1.5,1.7,0.1,3.3,2.4,0.9,0.0,0.0
Derek Forbort,,,D,2700,LA,@VAN,1,D1,,2.58,18.6,20.7,20.7,0.6,0.8,0.9,1.6,1.6,1.7,0.3,3.0,2.0,0.7,0.0,0.0
Gustav Forsling,,,D,2700,CHI,@SJ,1,,,2.76,16.2,17.1,17.1,1.6,1.4,1.4,1.8,1.7,1.7,0.2,3.2,0.0,0.0,0.0,0.0
Madison Bowey,,,D,2700,DET,@BUF,2,D2,,2.73,21.4,15.2,14.8,0.8,1.1,1.0,1.7,1.7,1.6,0.4,2.9,1.5,0.6,0.0,0.0
Henrik Borgstrom,,,C,2700,FLA,@OTT,1,L3,P2,3.46,9.7,11.9,12.2,0.4,1.2,1.2,0.6,1.6,1.6,-0.1,3.4,2.6,1.0,0.0,0.0
Christian Jaros,,,D,2700,OTT,FLA,1,D3,P2,3.04,16.5,14.9,14.4,0.8,1.2,1.1,1.7,1.7,1.6,0.1,3.1,1.6,0.6,0.0,0.0
Jordan Weal,,,RW,2700,MON,@CLS,1,L4,P1,2.55,14.7,12.8,13.3,1.6,1.1,1.1,3.2,1.4,1.5,-0.2,3.1,2.0,0.7,0.0,0.0
Markus Nutivaara,,,D,2700,CLS,MON,1,D1,,2.95,20.9,17.4,17.4,2.4,1.1,1.3,2.6,1.2,1.5,0.1,3.0,1.7,0.6,0.0,0.0
Dryden Hunt,,,LW,2700,FLA,@OTT,1,L4,,3.46,11.8,10.9,10.9,1.2,1.7,1.7,1.5,1.5,1.5,-0.1,3.1,1.5,0.6,0.0,0.0
Blake Comeau,,,RW,2700,DAL,@EDM,0,L3,,2.77,16.3,16.0,15.7,2.0,1.2,1.3,1.7,1.5,1.5,0.0,2.9,1.7,0.6,0.0,0.0
Alexander Wennberg,,,C,2700,CLS,MON,1,,,2.95,13.2,15.2,15.1,1.4,0.9,0.9,1.1,1.1,1.4,0.0,2.9,0.0,0.0,0.0,0.0
Taro Hirose,,,LW,2600,DET,@BUF,2,L2,P2,2.73,14.9,14.9,14.9,1.0,1.0,1.0,2.8,2.8,2.8,2.1,3.4,0.3,0.1,0.0,0.0
Andrew Copp,,,C,2600,WPG,NYI,2,L4,,3.02,11.5,11.7,12.0,1.4,1.4,1.2,1.9,2.2,1.8,0.0,3.7,1.7,0.7,0.0,0.0
Christian Folin,,,D,2600,MON,@CLS,1,D3,,2.55,16.9,15.6,15.6,0.6,0.9,0.9,1.2,1.7,1.7,0.6,2.8,1.3,0.5,0.0,0.0
Trevor van Riemsdyk,,,D,2600,CAR,WAS,1,D3,,3.18,14.8,14.9,15.1,2.0,1.6,1.3,2.0,1.8,1.6,0.4,2.9,2.0,0.8,0.0,0.0
